id,product,amount,credit rating,cancellation,age
66758234,K1,96900,9,정상,43
66755948,K1,102900,2,정상,62
66756657,K1,96900,8,정상,60
66423450,K1,66900,5,정상,60
66423204,K1,66900,8,해약,51
66165241,K3,90900,5,정상,52
66751017,K1,98400,1,정상,59
66751017,K2,80400,1,정상,
66758007,K3,102900,2,정상,61
66756702,K1,105900,1,정상,24
66757254,K1,81900,1,정상,37
66757254,K2,81900,1,정상,28
66355286,K3,90900,7,정상,29
66757861,K1,96900,1,정상,34
66758085,K2,90900,1,정상,54
66423049,K1,66900,2,정상,33
66423249,K1,66900,2,정상,48
66755490,K1,105900,1,정상,47
66423230,K1,66900,2,정상,41
66758336,K1,111900,9,정상,
66758074,K1,96900,1,정상,73
66758074,K2,87900,1,정상,
66755833,K1,134700,7,정상,52
66422938,K1,66900,2,정상,55
66755125,K1,105900,1,정상,74
66422513,K1,66900,2,정상,40
66419239,K1,96900,,정상,
25702131,K1,66900,,정상,
66422449,K1,66900,1,정상,40
25742841,K1,142200,,정상,
66758615,K1,96900,7,정상,85
66758778,K1,96900,5,정상,64
25742683,K3,102900,,정상,
66127796,K2,90900,1,정상,
25851817,K1,96600,,정상,
66528773,K1,96900,3,정상,65
25742687,K1,142200,,정상,
25742687,K2,96900,,정상,
25742687,K2,96900,,정상,
66758315,K1,105900,6,정상,46
66758224,K1,105900,1,정상,33
66211709,K1,96900,4,정상,28
66135112,K1,96900,1,정상,26
66758431,K1,96900,1,정상,52
66423714,K1,66900,3,해약,31
66754342,K1,98400,5,정상,40
66754342,K2,80400,5,정상,32
66758548,K1,96900,4,정상,37
66758162,K1,98400,5,정상,59
66758162,K2,80400,5,정상,51
66590304,K2,90900,4,정상,61
66670488,K1,96900,4,정상,36
25856039,K1,96900,,정상,
25869517,K1,96900,,정상,
66757967,K1,105900,5,정상,
66260467,K1,96900,1,정상,25
66758899,K1,81900,2,정상,42
66758899,K2,81900,2,정상,45
66758851,K4,126900,5,정상,28
66757441,K3,90900,7,정상,58
66758704,K1,96900,6,정상,
66420963,K1,66900,,정상,
66758888,K1,105900,,정상,
66754426,K1,105900,2,정상,49
66758803,K1,105900,9,정상,45
66758803,K2,96900,9,정상,51
66755965,K1,96900,9,정상,58
66316787,K1,96900,2,정상,56
66758653,K1,81900,3,정상,69
66758653,K2,81900,3,정상,53
66388766,K1,96900,,정상,
66750147,K1,96900,1,정상,22
66426523,K3,90900,6,정상,63
66758873,K1,81900,3,정상,33
66758873,K2,81900,3,정상,58
