,1번웨이퍼,2번웨이퍼,3번웨이퍼,Error_Chip_Rate_Path,PATH
135,Path_23133,Path_31211,Path_12322,0.06619512195121952,0
103,Path_12222,Path_23133,Path_31311,0.06345569620253165,1
170,Path_22133,Path_31211,Path_13322,0.06301111111111111,2
214,Path_23122,Path_32333,Path_11211,0.06289743589743589,3
131,Path_22333,Path_31211,Path_13122,0.06288297872340426,4
198,Path_12333,Path_23122,Path_31211,0.06185106382978724,5
64,Path_21333,Path_12222,Path_33111,0.061844827586206894,6
69,Path_21333,Path_32211,Path_13122,0.06153061224489796,7
189,Path_22322,Path_13133,Path_31211,0.0614375,8
136,Path_23133,Path_31322,Path_12211,0.06130487804878049,9
138,Path_23133,Path_32322,Path_11211,0.06070731707317073,10
171,Path_22133,Path_31322,Path_13211,0.06037777777777778,11
105,Path_12222,Path_31111,Path_23333,0.060229411764705885,12
177,Path_22211,Path_13133,Path_31322,0.05995238095238095,13
150,Path_31111,Path_23233,Path_12322,0.059893617021276595,14
0,Path_21111,Path_12222,Path_33333,0.0595625,15
139,Path_23222,Path_31111,Path_12333,0.059066326530612244,16
203,Path_23111,Path_32322,Path_11233,0.05898936170212766,17
104,Path_12222,Path_23311,Path_31133,0.05846470588235294,18
158,Path_32311,Path_23122,Path_11233,0.05843617021276596,19
106,Path_12222,Path_31333,Path_23111,0.05842352941176471,20
199,Path_12333,Path_23211,Path_31122,0.05836170212765957,21
113,Path_13111,Path_22233,Path_31322,0.05820408163265306,22
65,Path_21333,Path_13111,Path_32222,0.05793,23
34,Path_21222,Path_13111,Path_32333,0.05791011235955056,24
173,Path_22133,Path_33322,Path_11211,0.05768888888888889,25
31,Path_21211,Path_32333,Path_13122,0.057666666666666665,26
137,Path_23133,Path_32211,Path_11322,0.05708536585365854,27
71,Path_21333,Path_33211,Path_12122,0.05708163265306122,28
200,Path_23111,Path_31233,Path_12322,0.05686170212765958,29
161,Path_33111,Path_22322,Path_11233,0.0565531914893617,30
121,Path_13333,Path_22122,Path_31211,0.05643,31
197,Path_12333,Path_23111,Path_31222,0.05642222222222222,32
124,Path_22111,Path_31322,Path_13233,0.05636,33
1,Path_21111,Path_13222,Path_32333,0.05628888888888889,34
169,Path_22133,Path_13311,Path_31222,0.05622159090909091,35
149,Path_31111,Path_22322,Path_13233,0.05615957446808511,36
148,Path_31111,Path_22233,Path_13322,0.05613265306122449,37
